iter	Passed	Remaining
0	3	3634
1	6	3332
2	11	3850
3	16	4113
4	20	4034
5	23	3924
6	30	4349
7	33	4171
8	37	4074
9	40	4002
10	46	4184
11	49	4096
12	53	4035
13	56	3988
14	62	4121
15	66	4073
16	69	4000
17	72	3933
18	78	4031
19	81	3973
20	84	3935
21	87	3886
22	91	3901
23	96	3909
24	99	3881
25	102	3857
26	107	3863
27	111	3877
28	114	3838
29	118	3817
30	121	3796
31	126	3830
32	130	3811
33	133	3802
34	136	3770
35	142	3823
36	145	3794
37	148	3763
38	151	3743
39	156	3763
40	160	3747
41	163	3720
42	165	3693
43	170	3703
44	174	3707
45	178	3692
46	180	3668
47	183	3644
48	190	3693
49	193	3672
50	196	3660
51	199	3641
52	205	3678
53	208	3661
54	211	3639
55	215	3625
56	219	3626
57	223	3637
58	226	3618
59	229	3599
60	234	3612
61	239	3625
62	242	3613
63	245	3595
64	247	3567
65	254	3602
66	257	3586
67	260	3574
68	263	3558
69	268	3565
70	272	3569
71	275	3552
72	278	3538
73	282	3532
74	286	3539
75	290	3525
76	292	3511
77	295	3497
78	300	3499
79	304	3499
80	307	3485
81	310	3472
82	313	3459
83	318	3473
84	321	3460
85	324	3449
86	327	3436
87	331	3436
88	336	3440
89	339	3430
90	342	3418
91	345	3405
92	350	3419
93	353	3409
94	356	3397
95	359	3385
96	363	3385
97	368	3388
98	371	3378
99	374	3366
100	376	3355
101	382	3367
102	385	3358
103	388	3348
104	391	3338
105	395	3339
106	400	3343
107	403	3332
108	406	3322
109	409	3312
110	415	3329
111	418	3319
112	421	3309
113	424	3298
114	430	3309
115	434	3309
116	437	3302
117	440	3293
118	445	3295
119	449	3296
120	452	3286
121	455	3276
122	460	3285
123	465	3287
124	468	3279
125	471	3271
126	474	3261
127	480	3272
128	483	3263
129	486	3253
130	489	3244
131	493	3242
132	497	3242
133	500	3232
134	503	3225
135	506	3216
136	511	3222
137	514	3214
138	517	3205
139	520	3199
140	525	3203
141	530	3204
142	533	3196
143	536	3188
144	539	3179
145	544	3185
146	547	3177
147	550	3169
148	553	3161
149	557	3159
150	561	3159
151	564	3151
152	567	3143
153	570	3135
154	574	3133
155	577	3125
156	580	3118
157	583	3110
158	586	3102
159	591	3102
160	594	3097
161	597	3091
162	600	3083
163	604	3082
164	609	3084
